Title,Review,Rating
Made me like f1 again,"Just love this series. Fast, interesting, lots of action, interesting characters. Big highs and low lows. Great background look into the whole Formula 1 scene. This series even got the wife (and she hates any sport) into racing. It has given us all a great insight into the whole thing. Keep up the great work!!",9
Really good!,This is such a brilliant docu-series. They have done a great job with the story-telling and this certainly makes this entertaining to watch even though the actual sport might not be as entertaining.,6
Hooked,"This is the type of docuseries that you need to see every year.From the start in Melbourne to end in Abu Dhabi ,this sport keeps on flabergasting its every viewer.",1
Would 100% recommend,Netflix have gone totally overboard with the made up drama and tensions they show in the series.Friends are shown as rivals. This is done by editing and clipping certain parts. Also they have failed to show the real battles and rivalries that have happened in the last season (4).They have just pushed it too far with all the fake radio messages and edited footage of races to make it look interesting.,10
Love F1? This is for you!,"I am watching Formula 1 for a few years now, but this is the first time I really get to see the pressure and problems teams and drivers have to go trough. This series gives us a real inside view of F1 and will even be interesting for people not watching F1. This will change my whole F1 watching experience next season.",10
Best Racing TV Series out there!,Its a very interesting show. Definitely a must watch if you are into sports.,10
Season 4 is a disaster,Just amazing...gives you a perspective of not only F1....but competitiveness what life has to offer,10
Don't bother,"Even though I am not an F1 fan, yet I loved the entire series, and in fact, I have become fond of F1. Since I have watched this documentary, I am following F1 and enjoy it a lot.It's not just about what happens on the race track but also what happens behind the scenes. The rivalry, support, heart-breaks, competition etc. I think the name is very appropriately given, ""Drive to Survive"".Watch it even if you are not an F1 fan and stick to it for a while!",10
F1 Fan's wet dream,"Having stopped watching F1 for the past 4 or 5 seasons due to the boring predictability, I found this documentary a great eye-opener to how exciting the midfield can be even when the podium is always the same.This docu-series really shows the inner workings of the smaller teams and managed to get me rooting for drivers I previously paid no attention to. I'll certainly be watching F1 again this season now and if it's the same old podium I'll be able to find excitement in the midfield battle knowing the drivers and teams that little bit more. With the added excitement of a lot of new young drivers I'm sure we'll be in for a killer season.",10
Not to reviewers lamenting...,"Its even interesting for people new to the p
Sport",10
I took the time to find somewhere to review this series,I am now a big F1 fan after watching this. Loved the behind the scenes and the stress in the driver's. Millions of dollars at stake . Loved it,10
Lack of sky commentary in season 2,"The series is more entertaining for non F1 fans/new F1 fans, compared to lifelong fans. Many rivalries shown are fabricated and pretty much everything in the series is shown out of context and doesn't make sense chronologically. However it has produced some pretty iconic moments and I like that it attracts more fans to the sport.",6
Absolutely Fantastic!,You can only rate this show high if you don't have watched F1 before or the GP's of the season or have no Idea about F1 at all.No wonder Verstappen don't wanna be part of it. This show just telling so much lies it's unbelievable.When you remember the GP's you can just shake your head when you see what Netflix is making out of it. Best example in Season 4 Episode 4 where they make Mazepin appear like a hero cause he decided to pit early in Russian GP and showing him with dramatic music overtaking some cars in rain.For people who didn't watched this race or have no memories it will look like he made a bold move and was driving good.In Fact: He was unlapped already by everyone and had NOTHING to lose or to win. So he decided to box for rain tires before everyone else and was able to overtake some cars who overlapped him already. He finished last place. Netflix didn't mentioned anything of that. When you just watch the show you think he ended up at place 12 or sth🤣🤣Another ridiculous disappointment is that this show has just 10 Episodes in one of the most intense and exciting seasons ever but wasting 2!! Episodes for pre season testing and first GP of the year!? And another full episode as mentioned for the worst team of the year!No matter who the manager of this show is needs to get fired!,2
Each episode follows a different good story,"Watching this on a wide screen with a good audio set up makes all the difference. Really well shot, immersive programme. I love the way it draws you into the smaller and less obvious challenges in F1 racing that people who don't frequently watch the sport would miss. I will definitely be following the 2019 series now that I have finished this!",8
Was a fan of F1 but now a bigger fan,"Have been an F1 fan since about 1998, and I believe this series can turn even the most unethused motorsport hater into a lover of Formula 1. It is raw, honest, and uncensored. Exactly what we miss seeing on TV. Bring on season 2!",10
Can now access F1!,"This is a fascinating look behind the scenes of Formula 1. It shows never before seen interactions Red Bull and Renault about engines and drivers. It goes behind the scenes of Haas, Red Bull, Renault, Force India, McLaren, Williams & Sauber dealing with all the ups and downs of the season. It is a must watch for all F1 fans.",10
Could be so much better,"I have been an F1 fan for over 10 years and thought this series should have been there for the fans 10'years ago ! There is so much drama and strategy plots behind the scene ... A series really done as nicely as this really brings it all out.There was always the drama, but when depicted in a well documented series is just ...... a masterpiece.",9
Too much made up drama. Does not show a realistic image of the F1 sports.,"Where are Ferrari and Mercedes???
Love all the episodes, and (being Dutch) all about Verstappen offcourse. But miss the background of the numbers 1 and 2.",8
"Great start, but much room for improvement",Never watch F1 but now I am a fan and gonna watch all the races from now on,10
An unseen view of Formula 1,"This gripping tv series is perfect for a new fan of F1 like myself but I couldn't for the life of me remember the names of the Toro Rosso drivers or Alfa Romeo. They just didn't show all the drivers. I get that it's less exciting to describe all the drivers individually and giving them a back story each, but for me, I wanted to know about each driver and why I should root for them in the championship. it also felt like we were watching the midfield battles and not the top battles which is understandable with Hamilton so dominant, but at least show us the Mercedes drivers. Hopefully next season we will see the Ferrari - Mercedes battle in its full glory. Overall, the season was good, with good production quality so I am looking forward to watching next season.",10
Amazing,So gripping. I'm not a F1 fan but I loved this. Wanted it to go on for at least another 10 episodes. Great narrative. Cool to hear the conversations between the driver and the team during the race. I live the focus and the rivalry and heritage. Bring on series 2 🤞,10
Super duper,"Season 1&2 ok, season 3 not that great. Please return to the basics because the same race discussed 3 times and misleading cuts is not the way to go.By the way, Floyd event narrated that way when we have the full video of what happened it's EXTREMELY disingenuous.",6
It's thrilling!,"I had stopped watching Formula 1 for many years, as I was bored of always same teams winning and very little action in terms of overtaking and too much strategy. Then, I bing-watched this documentary and now I cannot wait for the 2019 season to start. The things that I had found boring became the ones that this documentary has made me love: the midfield and slowest cars fighting to gain just a few points, the immense and dedicated work that goes into the preparation of each race, the strategies to try to be just a bit faster than the opponent drivers, and then the personal stories, which bring a lot of humanity to this sport and makes it enjoyable from a totally different perspective.
Please Netflix never stop producing this show.",2
Welcoming me back to F1,"Season 4 was a real drag. I only managed to watch it because of how good seasons 1, 2 and 3 were. In season 4 too many times I found myself thinking this is BORING. The show seemed to focus more on the drama than the actual racing. Very disappointing.",9
Its fantastic,"Wonderful program, I knew nothing about formula 1 and am now a fan for life! Must watch!",10
Loved it,"As someone who has never really watched a Formula 1 race, wow, what a docu-series. The visuals are something out of an amazing pop-action film and the drama is something that makes you feel for each character. Being a bystander, I feel as though I may have watched one episode and said, ""Oh, that was cool, now let me put on an early 2000's cherished war film,"" but then it turns around and hits me with more. I can't praise this enough, well done by the film and editing crew. There were moments like I watching a Mission Impossible film where it took the actors and crew months to perfect certain scenes. They truly made me skip out on my Sunday routine of watching film noir, or 70's gangster films to watch a 10-episode series on a sport I have never once watched in my life and made it riveting. If you enjoy high action, political/emotional drama, and heartbreak in your free time, throw this on!",9
Not for F1 fans,"Amazing drama!!Formula 1 season 1 2018:
1. Felt bad for esteban when he was removed , sergio was taken.2. Rich lance stroll
3. Huge fan of Riccardo this season after his win in monaco. Everybody was putting money on Max Versteppan .4. Redbull-renault rivalry
6. Grosjean HAAS thoke hi ja raha tha😂
7. Charles leclerc - ferrari dream, very youngg!! Mental power amazing, 48 hours after his father's death, he won!!8. Max verstappen and esteban pushing incident.9.mercedes ferrari stayed out of S1- rn my opinion is 'rich teams'
10. I loved Daniel, Felt bad for esteban, loved leclerc
11. Daniel moving to Renault.12. Force India was actually doing good until mallya was taken- read mallya's case in detail
13 Alonso got retired.14. Hamilton 5 times champion!Formula 1 season 2 2019:
1. Gasly-alex torro rosso <>red bull
2. Anthoine hubert died in formula 2. Number 19 retired in honor
3. CRAZY Brazil race. Pierre gasly 2nd , his first ever race. Carlos Jr moved from 20 to 3rd position, alex albon was moved away by lewis hamiltonCarlos Jr became my favorite and red bull fav team mainly because of the principal. (That renault-redbull fight). Carlos is a silver spoon kid, but still very mature and hard-working. Worked SO hard to prove himself, worked so hard after getting removed from renault. Mclaren's position was entirely changed by him'",10
Ridiculous comedy show,Very well made. Good shots and put together to build nice story and introduction of the drivers. It's a shame that Mercedes and Ferrari didn't participate but that gave more time for the battles further back. Recommended to others to watch,8
Excellent,"As many others have said, even if you're not a die-hard motorsports fan its definitely worth watching. Well written, researched and produced, it's fascinating and complerely binge-worthy. I loved getting to k ow the drivers, teams and the challenges and I really liked how each episode focused on different teams/drivers. Really hope they make a second series!",10
Brilliant,Haven't been a huge fan of F1 but after watching these doc series it got my attention.,9
Fascinating look behind the scenes of Formula 1,"But not once the suffering and certain death of Stoffel Vandoorne at McLaren in it. Shows the heavy political F1 influence on the series. And misses out the essence of its title ""drive to survive"".",10
A must watch at any fan level !!,Why we are forced to see the unnecessary commentary. F1 has already commentator like crofty and bundle . Why the formula e commentator is added unnecessary.,7
"Great to watch, but...",Didn't know Netflix had done a docu-series on F1. Binge watched the first series and absolutely loved it. Hasten to say now finished season 2. It's a must for any die hard F1 fan.,4
Brilliant,"I have never watched any of the F1 races before ,only know few famous F1 racer showed up in the TV news from time to time, but after watched this show I could feel the excitement and expectation in this F1 racing world! It's a great show for people knowing nothing about F1 to enjoy and become day one as a F1 fan!",10
"Great Storyline, but not a wide enough range on all drivers!!",Fell out of love with F1 for a few years but this summary of the 2018 season is superb. It explains what happens off and on the track that is enthralling even for those uninterested in F1. I really hope Netflix do this after each season.Thanks to this show I'm back on the F1 hype.,8
I'm hooked,"I don't watch F1 but gave the 1st episode a go. It is really great and accessible, and the 4K is nice.",10
"Season 1&2 ok, season 3 not that great",I have watched all. I'll keep watch next seasons until it'll removed on broadcasting. But I can not stop asking without myself. What was the reason season 3 that much disappointing. Corona? Maybe... But previous seasons were much more better! No doubt! F1 raceses does not consist just HAAS team! F1 is not just drama and stop to catch up American audiences for it,9
"Sheeew, boom, swoooosh, braaaam, bang, swish, wooooooooong......",Really enjoyable. Hope they will continue year on year!,9
Restored My Passion in Formula1,"I absolutely loved watching this series. I've started losing interest in F1 few years ago to the point I would only read a news here and there in 2018. This series returned the fire for the Formula 1. I was mesmerized from the first episode and can't wait to watch the next race in China.
Having Merc and Ferrari opted out was not necessarily a bad thing as it gave more space for other teams and drivers you generally don't know much about. With 2019 season having youngest grid in a long time, looking forward to season 2.",10
Disappointing 4th season,"Sergio Perez is one of the best pilots in F1, since its arrival to Force India in 2015, he has beaten his team partner, in 2015 and 2016 he scored more points than Niko Hulkenberg, in 2017 and 2018 he definitively beat Ocon by far (in 2017 Checo scored 100 points, Ocon only 87... in 2018 Checo scored 62 points, Ocon only 49); it is sad to see how Netflix shows an arrogant and non-profesional Sergio when he is by far a much better driver than the dangerous Ocon, in addition Checo has a strong support and sponsorship from Carlos Slim; why would Force India (now Racing Ponit) not chose Sergio over Ocon? they made the best and logical decision... and Netflix expressed disappointment because of the humble origins of Ocon, not fair, I am very disappointing... This production is not objective and only express a small group of interests.",9
"Addicting, Brilliant, Edge of your seat adrenaline rush!","Why all the focus on Hass? This would be a much better series if they brought more of the drivers in and focused on them. They completely ignored some of the greatest stories in F1. Its still a good watch, it could be better.",10
WOW: From Someone Who Has Never Heard of F1,Clueless & biased.F1's youtube channel has far better coverage than this sorry excuse of a show.What is supposed to be a clusterf... caused by FIA's decisions all through the 2021 season was portrayed in this doc painting Redbull as the villains. I mean even Toto Wolff embraced being the real villain when he appeared in he final scene wearing black turtleneck & everything.,7
Perfect drama,"Amazing vortex that pulls you right in to the game. Even if you are not a fan of the sport you will become one. Good job people keep it up. And if you are a petrolhead. Never miss this incredible series, a tale of true stories and a clear insight of the fastest motor sport of our time. Lastly, I have to state again that there has to be an episode in between races, every year from now on.",4
Excellent - will look forward to next years one,"This is a depiction of the world championship in such a way that general audience can understand what's going on in the background. There may be some exaggeration s occasionally, but those are only for dramatization purposes, don't expect a 100% technically accurate presentation, because it's not for nerdy fans out there. It's to generate new fanbase for the sport and I must say Netflix is very much successful on this occasion.",9
Loved it!,"Drive to Survive' is gritty, real, and a great look into the business side of Formula 1. If you kind of like racing, but don't know anything and wan't to get a good look behind the scenes, this series is for you.And, ladies, the drivers are all young, charismatic and, generally, great looking!I never followed racing, but after the first season I started becoming interested in Formula 1. The great thing is that this show isn't about the winners. It is about the struggles of being a Formula 1 team and the pressure faced by the drivers. Last year there was nothing from Mercedes or Ferrari so I assume they refused to be a part of the series. Well, I guess their drivers were like, ""Why aren't we on this show?"". So, in the second season, both Mercedes and Ferrari are ""enthusiastic"" participants.",10
Most intense F1 doc,This show brings you into the world of the racers and the sequences are unlike anything I have seen. Great show!,9
Drive to survive? Where is Stoffel Vandoorne than,"I have no idea how Netflix pulled this off, all I can say is the have outdone themselves with the photography, interviews, but most importantly they gave an amazing story.After this show I have less than ZERO % respect for Christian Horner, and Claire Williams who I didn't care for at all has gotten so much respect from me... I really just hope other people see the same.It showed how the weekends work, how much pressure the team bosses put on themselves and how important fairness is, it showed how teams can collapse because of one person's arrogance (Verstappen) and how other teams can grow because of the humility of one person (Steiner).All in all a must see if you are a Formula 1 fan.",9
Unnecessary drama and commentary,"This is brilliant stuff. Short bytes of viewing (unless you binge). The back story to F1 is fascinating, exciting, shocking and thoroughly EPIC tv watching. I am a total convert.",8
For Anyone who is an F1 fan,"Absolutely phenomenal , just downloaded F1 app this show makes me a big fan now , story behind is just masterpiece well done Netflix.",9
A new F1 fan after the show,"This show is geared more towards people that are new to F1 than long time fans. Found it a bit boring, over-dramatized, and had some annoying sound editing issues (audio goes from barely audible to loud at times). It's also a shame that Mercedes and Ferrari barely participated in the documentary.Great for new fans, probably not overly interesting for current fans, production could have been better.",10
Superb,"Unfortunately, it doesn't represent reality to Netflix, but adds its own stuff or mixes the facts to increase viewership and drama in the events. It would be fitting to adapt to F1 and present events that are taking place and not what may or may not be ...",10
Really great for someone who doesn't watch F1,Wants to make you watch more and get excited about upcoming races.,7
All good except season 3,"I was never interested in F1, watched this documentary and that changed. You really get to know F1 on such a different level. Absolutely loved watching this and hope there's gonna be more!",1
Great stuff,"I was very disapointed about F1 events, everything is dull comparing to MotoGP. I was watching F1 back in the past, now I cannot say who won last years championship. Saying this I give a 10/10 to this show, because I ve started to like F1 again",10
"Skipped the 2018 season, not skipping 2019! All thanks to this series","Being mildly familiar with F1 racing, this made me a huge fan. Remarkably dramatic, enticing... has it all. More more more please. A terrific use of time.",8
Sad to see how Netflix team changed reality,"From the time that I started to watch season 1 my respect for Formula One racing grew to the heavens! It just amazes me about just how much time and effort and teamwork goes into this business. I am simply in awe of the every aspect of this incredible sport.
As with this show, I'm quite happy with the way is to put together. I can imagine it is quite difficult to cram in a whole Formula One season into just a handful of episodes. I really enjoy the cinematography of this show. They really to well to get you all bumped up for each race to start. I like how they start out highlighting the three main day of each Grand Prix. From the practice day to the qualifying day to race day it's so cool to feel like you are being a part of the story and team that the show features for that episode. I would HIGHLY recommend this show to anyone!
I cannot WAIT for the 2020 season!!",10
"An entertaining series, but....","I enjoyed both seasons. Some behind the scenes material is perfect for getting ready for the next season. But with the virus delays, I wish they could package up some cutting room floor material into another episode or two. Even if it is not good I would watch.",10
Clueless & biased.,"You came to the right place. Visually and story driven mini series that takes a look behind the scenes of F1, it's drivers, their lives, polictics and how every little or big action affects everything. It's a must watch for someone who knows a lot about F1 and for someone who wants to find out more. Waiting for season 2.
The series very raw, real and it makes me feel about them. It's a cut throat bussines in which everyone is trying to succeed. I love it.",10
There has to be an episode after every race,"Awesome series. Watching the races is a thing. But seing ""insiders"" is awesome.Good thing they have Ferrari and Merc on S2.",9
Not for nerds,"First couple of episodes is about Ricciardo. Is it Daniel to survive, as he joked or drive to survive? It covered all English drivers (Nando, Russell and Ham) but nothing about Alonso, Vettel. Distorted real events. Ocon's first place in Hungary shown without any help of Alonso keeping Ham behind, Russell puncture in Bahrain 2020 but not shown colossal mess up in the pitsopts with tires. Bottas soft approach to block couple of Max passes after he lost contract to Merc. Nothing about sprint races. The episodes are 30-40 minutes, too short. It should be one episode per race. It was edited like Big brother or Survior.",10
f1 fans += 1,"If you not an F1 fan this will make good documentary (it's not really a documentary) viewing of the behind the scenes of an F1 season.If you are a fan, this the missing channel of a race weekend, fills in gaps of the things that we speculatively talk about.Nicely edited, also doubles up a condensed recap of 2018 season.To all participants, great job!",10
Great insider view of Formula 1 racing!,"Wow. I didn't think they can top every season, but they do. Anyways, that's my personal opinion and I will talk about the series now.Drive to survive is captivating. It is engaging which makes your emotions be affected, you start relating to drivers. This is how Sports coverage MUST be done when formatting it as drama (I wouldn't call it documentary since it recaps the previous year's season in more of a Drama format, albeit there are a lot of interviews like a documentary ). Also, you learn a lot about the mechanics behind the F1 business. It teaches you the economics behinds decision making.Most interesting thing is that they use every episode to focus on a person/ team. So a couple of episodes takes you through the same timeline but from different perspectives and I seriously applaud the idea and it's execution.",6
Amazing,"I know last season of F1 was phenomenal and mind blowing in every aspect but I admit, watching this show gives me the same if not more thrill than watching the entire F1 season live. Netflix team's done a very very good job so far.",2
"Brilliant, and mind changing",This is exhilarating from start to finish. I really like how it showcased many of the battles going on further down the field and the fight they face to become a top team. It's really well filmed and edited and captures all of the drama of an F1 season. Well done Netflix!,10
Knew nothing about F1. Now I want to know everything,A fantastic behind the scenes that goes beyond what you watch during a race. It brought a while new understanding of the competition beyond the Mercedes/Ferrari drama.,10
Phenomenal,"I have always enjoyed F1, less in the previous years as it hasnt been as excisting as it was before but I still watch highlights of the every race.When I started watching this series, I got hooked instantly. Seeing how the teams work, drivers feel and have pressure, ups n dows was just so interesting. Definitely a series to watch even if you are not a F1 fan.",10
"Aimed at new viewers, some minor production issues","This is a really well made documentary series. It really engages you in the different teams and the different drivers. The way they have directed it also gives you the whole circle of entertainment. It is exciting, it is humorous, it is serious and it leaves you wondering what will happen next. I am really hoping for a season 3 even though the Formula 1 season for 2020 have been a lot different.I highly recommend you watching this. My fiance, who are not into F1, enjoyed it as much as me.",10
Lots of lies and artificial drama,"Honestly, I never knew much or cared for F1 before this show. I thought it was basically NASCAR, but on a more global scale. I was very wrong. In this series, you get an in-depth look at the cars, drivers, races, etc. as well as some behind the scenes action. It is extremely well done. Since I first started watching last year, I have followed F1 much closer and plan on going to a few live events in the near future.",10
Perfect for an f1 fan or you want to get into it,"Very engaging series for non F1 fans!
It focuses mainly on the relationship aspects in the teams and the rivalry between the pilots, so it gives good insights about the F1 world and the dynamics between the teams and drivers. It's interesting to see how you'd find yourself rooting for some drivers and not being a fan of others in the end.If the objective of the series is to attract more F1 fans and get you hooked, then it delivers 100% on it.",10
Suprisingly amazing,"Season 1 and 2 was the pinnacle , but season 3 is just a hit and a miss .Nothing about the turkish Gp and lewis hamilton . i am glad i watched all the races live so i can miss this season of drive to survive , really nothing much going on just drama drama and drama. Better watch the F1 youtube channel it has much better content",10
This show make me interested in F1 again,"When Hamilton leaves no space, it's Verstappens fault. When Verstappen leaves no space it's Verstappens fault. The incident at Imola is depicted to be so much more dangerous than Silverstone. Hamiltons penalty was the longes 10-seconds I've e ever seen where as Max's grid-penalty wasn't even mentioned. Toto blaming Red Bull for whining? Really? Merc throwing so much s*** on Max and Christian this season. I can go on and on.",8
Terrific..,"Afetr those 2 seasons, I really want to pay for F1 subscription so I can watch F1 again.",7
EDGE OF YOUR SEAT!!!,Amazing insight into behind the scenes of the formula one teams and the pressures they are put under. Stunning Cinematography throughout the series and will reignite your love for F1 for any fleeting fan. Bring on season 3.,4
Enjoyed Both seasons,"It is very intersting series, there is a lot of excitement and thrill, but in the second season I think making episodes shorter was not good idea, there were not that much details in each episode like season 1. Also, in season 2 it was so focused in limited number of teams even though there were teams that I think we were anticipating to get some highlight, like Renault with their new driver signing, seasen 2 did not focus in this topic even though many fans were excited about the new signing.",10
Want to appréciate F1 more while watching ?,Nice to see a show that not only highlights the top teams but the Mid Level Teams and the Race within the Race. This is a very up close and personal look into the Fastest and Most Expensive Motorsport on Planet Earth. Beautiful cinematography and brilliant colour the production team did a Great Job putting it all together. The highs and the lows of a season from the people most effected by the circumstances. I'm really looking forward to Season 2. This is a MUST WATCH for race fans World Wide.,9
If you are an F1 fan. This is a MUST WATCH.,"George Floyd and BLM? Really?THAT was a HUGE bitter pill on what was otherwise 3 great seasons of behind the F1 racing drivers and teams.Any more of this and we're dumping Netflix, only got it to watch this series...Do you homework WITHOUT using a search engine that manipulates its results that fits a narrative...",10
"Could Be Greatly Improved, Here's How...","When watcing this movie, you may feel that you are playing a video game. Just awesome. Recommended to game lover.",10
"From season 1 to season 4, it lost 5 stars","I have been an f1 fan since forever but this docuseries is like none before.
It shows everything about this expensive sports from politics to rivalry between teams and even between teammates. It also gives you a better idea about all the drivers, their backgrounds and struggles in reaching this ultimate sport.
I haven't started season 2 yet but season 1 is already keeping me in front of the screen for hours.",10
F1 RAW,"The only thing missing is George's glorious first time winning points in F1 weekend. Awesome job, Netflix 👍",10
Sports Drama Done Right!,"Well everyone knows that Max verstappen didn't want to do his interviews in DTS because he thinks that they fake a lot of drama and create false rivalries.As a response it seems that drive to survive are portraying max as the biggest bully/villain on earth in season 4 and everything he does is bad prime examples are episode 3 and 9 and the only exemption in which max seems like a decent human being is episode 10. On the other hand they show lewis and Mercedes as heroes without criticizing any actions of them because they ""win on track"" and never do anything bad. Finally the same bias they have against Max they seem to have against the whole red bull team.",10
Absolutely brilliant!,"I am not a F1 fan.
This series is not about F1 crashes, I was expecting that.
It is more about drivers nearing end of their contrancts, and teams, some struggling other trying to catch up with big boys.
Now I feel groomed to watch or at least follow next season of F1.
Hope netflix will do another series about next season.",9
Wow - a must watch,Excellent show absolutely loved it. Not just about the racing but what it takes to get one of the 20 seats. A lot of insight into what goes on behind the scenes.Really hope they make another season,6
Amazing!,"This is amazing, a scripted show that parades itself as a reality/documentary. Thus, virtually no coverage of the great ending to the 21-22 ending because that would be a buzz kill for us rubes. We get no info on the teams and the technology, just on the drivers, just like astronauts and this is more than awesome because it raises money for Netflix and F1, as now we have 3 races in the US, it's money money money and all the reluctant teams have now been forced to participate in the show.And what's not to like? Yachts, pretty people, private jets, 500-700 million dollar budgets and Chris Horner, country gentleman, envious, punching down, pure CIS testosterone, and we're all happy with that, well, I am, anyway, have no idea why, maybe it seems stranger to me than the dark side of the moon, or 30,000 feet down in the Marianas trench. This is why humans are amazing and humans suck, all this wealth and wealth related activity and amazing technology and creativity and the children driving the cars, as if they have a clue what this is all about.I particularly love all the shots of the 500 foot cruise ships in the distance as the $500,000 launches casually ferry the talent. And to be clear, this is zero sum, all the money being sucked into wealth is sucked away from everyone else, there is no real argument to the contrary, just wealth, to the extent it even matters to them, sputtering crap to justify themselves. And, in terms of the US, Steinbeck said it best, ""there are no poor in the US, just embarrassed, temporary millionaires"" Humans, we're fools and WWIII is nigh, as it has always been.",4
"I havent binged a whole season before in one day, now I have","Adrenaline blend with Emotions, is what you got in this series. Great Shoot, Behind The Scene and Feel, 10 eps is not enough. But, this series is to much focus in 5 standing team, hopefully, more teams covered is best we can get.",10
Get your adrenaline going,We see behind the scenes of almost all F1 constructors apart from Alpha Romeo and Alpha Tauri. We see emotions running high and tension between teams & teammates. How hard it is to survive in F1 example ocon & hulkenberg. Hulkenberg part where Renault doesn't renew his contract is heartbreaking. And of course Mercedes 1min pit stop. Haas frustrations. Red Bull youth program. Ricciardo ditching Red bull. Waiting for season 3 episode of monza where Gasly won the race.,10
Never been interested in F1 until this show.,"I'm not a huge fan of F1 as I don't watch the races, but I do watch many documentaries and movies on F1 and racing in general. This mini series is truly well done. I like that we follow less known and sometime underdog teams. It's a breath of fresh air. I just hate it all here in matters of days. It was so good. Really looking for season 2.",9
Entertaining!,"This series is jam packed with action, danger and drama! A must see for people who love shows that show all the behind the scenes politics. This series shows that F1 isn't just another testosterone driven sport with men taking ""another left turn""!",10
Season 3 is Not that Great,"The first seasons were great, but season 4 didn't show us some of the best and most exciting parts of the 2021 season. They should stop focusing on only one team per episode. Gets boring...",9
Is this show made by the Brits?,"Turned F1 into WWE. Netflix revenue and similar, extreme profit-driven motivations have taken F1 from a sport to a reality show. If I want to watch a fictional series I'll choose Friends or Curb Your Enthusiasm, way more fun. Hard pass.",10
GREAT!!!,"This is a brilliant series. You get to see glimpses of what really goes on behind the scenes. Drivers, teams, owners and crews emotions, up and downs and even up close and personal to some of their private lives. Also what really goes into operating a team, costs, logistics etc etc.If you love F1 then this series is must.",9
Stunning Cinematography For Any Sports Fan,"Im not a hard core F1 fan, but after the first episode I could not leave it alone.
If there is any show I hope comes back for a second season, this is the one. Absolutley fantastic! 11/10",10
It definitely made me so intrested in F1,"One of the best serial ever
Amazing, well done
1000/10",6
Great inside look into Racing,"Great show produced by Netflix! It does not hide the things the teams would like to be behind closed doors. No love between some drivers in the same team, which we already knew, but seeing it it's even better. Great tension, great capturing of important moments, great seeing smaller teams fighting, great music.Excellent! Bravo!",2
Last Minutes of Season 3 Last Episode...,"This show is just perfect!! Incredible well done!! Its a pitty that not all teams are on it, I think it was a very stupid mistake of them, because now we all have inclination to follow the ones thar were in the show, and by all I mean the people that didn't fallow F1 before the show, like me.Well done Netflix!!! Well done!!!!",10
Feel Like video game,"Not a single minute of the entire series feels boring. Can't think of any flaw from the technical side or the story side of it. A viewer gets sucked into the series right from the first few minutes of the first episode and there is no letting off. One get to see what happens in a F1 team. The team politics, the rivalry between the drivers, the tension and the drama when the engines are on.The makes have given the viewers something great. A sports fan will love this series to the core. A must must must watch.",10
A must x 10000000,The series is beautifully directed and edited for viewers who are new to F1 as well as hardcore F1 fans.,8
Missing GR weekend at Mercedes,"I'm absolutely hooked.This gives your everything, drama between men in politics, with money and engineering. Full disclosure behind the scene experience, nerve wrecking toe to toes, the real fight on the track and off the track. So in love with this! My adrenalin spikes from the couch corner!",9
Three season F1 commercial,"What is this, a soap opera? This series is riddled with fake rivalry, manipulated video, manipulated audio, fake and manipulated everything, just to drag in some viewers. And if that's not enough, it does all that while missing the real tension, the real action and everything else that makes F1 great.What a disgrace. Perhaps you should hire Michael Bay to direct season 5.",8
Season 4 is poor and biased,"I loved this show, I can finally understand, what Formula1 is all about!I found it interesting though, how proud many of the drivers and team principals seemed to be to abuse the Netflix teams and their reporters - which doesn't seem to be particularly daring because I doubt that Netflix employee is at liberty to say something back or come out behind the camera to have an even clearer word with you. The way I see it, these journalists are just doing their jobs and I'm sure that Netflix is paying good money to the teams and contributes to paying their salaries. You don't want Netflix there? Fine. But if you agree to let them document your sport treat them with some decency.",8
Amazing series,I think I have found a new favorite in this recurring series based on one of the most competitive & entertaining sporting events of the world - Formula 1. I came in knowing nothing about the sport and now suddenly feel like I have to track everything that happens in this sport & it's players. It's an amazing series and I love the unfiltered behind the scenes conversations & reactions that really make you fall in love with the entire process of the game. I thoroughly enjoyed it!,10
You don't have to be an F1 fan to love this show,Great show! You should involve bigger teams and film everything that is happening inside the garage and on the track.,9
"rich children and rich ""adults"" whinge on",Brilliant stuff here. A must watch! My girlfriend even loved it and she doesn't care too much for motorsports. You get an insight in to what's going through the minds of these lunatics and everyone thats something in this business as they batlle their way through the season. Would have liked to see ferrari and mercedes in this as well but I hope they'll open up next season. Loved it.,6
"Great DocuSeries, Recomended!",As a F1 fan I had to watch the show. I guess there are areas that could have been explored deeper but over all the show works. Personally I would have liked to learn more about the sacrifices a F1 pilot has to make in areas like mental and physical training.,1
How different F1 can be as a sport,"Before watching this during lockdown '20 , my teenage sons and I were neutral towards F1. I'd frequently watch the highlights and occasionally a whole race. My lads didn't even do that. Now 2/3 of us watch every race and we also have a playseat and PS4 pro set up just for setting F1 laptimes in competition with each other.A series that changes actual behaviours is a rare thing indeed. It works by applying high production values whilst capturing the emotions of drivers, owners and support staff too. The race captures are excellent and then balance of on-track and off-track footage is perfect in terms of setting the scene and drawing the viewer in to the action.In this context the 'woke segment' and the end of S3 is forgiven also because by putting it at the end, these viewers could simply turn it off and avoid it. Good job The 'Flix!",9
Outstanding production,"I've been an F1 fan for twenty five years, so the prospect of this series was exciting. It fell flat, almost like Liberty Media paid for a extended promo. It could have been great, I don't think it was thought through enough. I'm not entirely sure anyone who hasn't watched F1 will bother to watch it.",10
